repar,train_bpd,valid_bpd,test_bpd
exp,1.1766105049001685,1.2912284122927669,1.2512669179143923
exp_temp,1.1530551273438139,1.2728780565155347,1.2316053962828255
relu,1.2570495868113856,1.3425067910720316,1.30341902533163
softplus,1.1289910878165128,1.2553647442966014,1.2149544474817942
exp,1.1867361632809337,1.2905913029697882,1.2512275173826257
exp_temp,1.1478240779475017,1.2739646542662406,1.2319193562642379
relu,1.250250089325883,1.3386074996274966,1.2987045989211778
softplus,1.1287131127236865,1.2556916695853584,1.2147971005348646
clamp,1.0902505482278135,1.2129290976004576,1.1740120943335552
clamp,1.099273207969627,1.2123652237783902,1.174471888684283
relu,1.2425946895431592,1.3176416217373286,1.2790119359684335
clamp,1.1014276307379731,1.2111369064081063,1.173176349917694
softplus,1.1368187165987136,1.2507362702232308,1.2102838682068247
exp,1.1959570276827962,1.294760596562391,1.255190261464448
exp_temp,1.1569274493944093,1.2707629055097747,1.229744469625364
